TWEET,BELIEF,CONFIDENCE
global warming report urges governments to act brussels belgium ap the world faces increased hunger and link,Yes,1
fighting poverty and global warming in africa link,Yes,1
carbon offsets how a vatican forest failed to reduce global warming link,Yes,0.8786
carbon offsets how a vatican forest failed to reduce global warming link,Yes,1
uruguay tools needed for those most vulnerable to climate change link,Yes,0.8087
rt user rt user ocean saltiness shows global warming is intensifying our water cycle link,Yes,1
global warming evidence all around us a message to global warming deniers and doubters just look around our link,Yes,1
migratory birds new climate change strategy stay home link,Yes,1
southern africa competing for limpopo water climate change will bring higher temperatures to southe link,Yes,1
global warming to impact wheat rice production in india ludhiana apr 18 scarcity of water will have a serious link,Yes,1
how do we solve this global warming thing link,Yes,0.9073
blog a preliminary analysis suggests that natural gas could contribute far more to global warming than previously link,Yes,1
ecotone climate change from a population perspective link,Yes,0.5488
climate change blamed as coastal whale migration dwindles ventura county link,Yes,0.8823
government report says global warming may cause cancer mental illness cnsnews com link,Yes,0.75
for earthday global warming could affect patient symptoms link,Yes,1
wait here s an idea it s natural climate change not human induced global warming link,No,0.6648
epa issues report on u s climate change indicators warming is having measurable effect across ecosystems link,Yes,1
qut researchers track climate change link,Yes,0.5194
global warming ocean chemistry is changing faster than it has in 8 years and that s because of the carbon link,Yes,1
topography of mountains could complicate rates of global warming sciencedaily apr 25 2 1 a new study concl link,Yes,1
soaring mercury blame it on global warming agartala apr 14 environmentalists have attributed the link,Yes,1
rt user leader of national indigenous women s org climate change is not just abt the climate its abt r lives bit ly 9gdzrw,Yes,1
user has there been any reporting on if the increase in sediment in upper atmospher could reduce global warming effect by reducing sun,Yes,0.8771
effects of global warming youtube effects of global warming stats back with more news for you today it s ama link,Yes,0.8887
it s global climate change not warming ac read url,Yes,0.5247
a preliminary analysis suggests that natural gas could contribute far more to global warming than previously thought link,Yes,1
science scientists explore the evolution of climate change link,Yes,0.7749
eaarth global warming is here to stay how will we deal with it link,Yes,1
allergies worse than ever blame global warming link,Yes,1
user i have it on good auth tht global warming also causes toe fungus we r all fortunate tht thr is no global warming tcot,No,0.8197
illegal war and the myth of global warming my main campaign platform for this election will be the illegal link,No,0.9183
the scientific community was scamed by global green gov warming scam,No,0.9336
4 degrees in nyc please urinate on next liberal global warming climate change scum you see,No,1
rt user hey al gore see these tornadoes racing across mississippi so much for global warming tornadocot ocra sgp gop ucot tlot p2 tycot,No,1
justinbiebersucks and global warming is a farce,No,1
one stop book stop confirmed global warming is settled as a scam wnd com sussman s book the link,No,0.9174
rationalists who believe aliens exist global warming caused by humans might as well believe in jesus miracles angels fairies tcot p2,No,1
proof there s no climate change rt user 75 ft killer tsunami created in a peruvian lake when a glacier fractures falls into the lake,No,0.8185
user real science not algore s climate change science hacks with their man made global warming hoax gore palin,No,0.8892
3 anti global warming scientists can t be wrong stranger nature magazine the academic journal that int link,No,0.8427
global warming baloney according to the experts at nasa the difference between weather and climate is a measure link,No,0.9368
computer forensics experts are there still any idiots out there that belive global warming is true link,No,0.9318
liberal looney toons global warming alarmist comes home with artic frost bite gather com they wont learn huh lo link,No,1
immigration reform and climate change a tale of two issues in the senate link,Yes,0.7774
peoples world grand rapids mich opponents of climate change legislation typically argue that regulating globa link,Yes,0.6812
check this video out the business of climate change conference 2 9 link,Yes,1
user global warming clearly,Yes,0.6061
user yes i have heard at least one person make the connection between the volcano and global warming,Yes,0.5978
environmental groups praise basic meeting on climate change environmental groups are giving qualified praise to a link,Yes,0.7971
recycling water meat and global warming peanuts rare grapes link,Yes,0.7774
don blankenship mine safety regulators as silly as global warming link,No,1
street corner global warming counsel urgh certain elements of this item in sunday s washington post five myths link,Yes,0.567
are you ready for the climate change pli is with environmental regulation commercial implications 2 1 how the link,Yes,0.5971
live tonight fellow heather rogers joins climate change expert james hansen to discuss real solutions to climate link,Yes,0.8221
plan b california braces for climate change link,Yes,0.5121
plants effective way of tackling global warming washington apr 3 plant leaves account for less than one per link,Yes,0.7967
user it s about 2 be 86 degrees out here in nyc shiiiiiitttt fuck glodman sachs obama better get a plan 4 this global warming,Yes,0.6122
plants effective way of tackling global warming washington apr 3 plant leaves account for less than one per link,Yes,0.7925
