,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,b,30.83,0.0,u,g,w,v,1.25,t,t,1,f,g,00202,0,+
1,a,58.67,4.46,u,g,q,h,3.04,t,t,6,f,g,00043,560,+
2,a,24.50,0.5,u,g,q,h,1.5,t,f,0,f,g,00280,824,+
3,b,27.83,1.54,u,g,w,v,3.75,t,t,5,t,g,00100,3,+
4,b,20.17,5.625,u,g,w,v,1.71,t,f,0,f,s,00120,0,+
5,b,32.08,4.0,u,g,m,v,2.5,t,f,0,t,g,00360,0,+
6,b,33.17,1.04,u,g,r,h,6.5,t,f,0,t,g,00164,31285,+
7,a,22.92,11.585,u,g,cc,v,0.04,t,f,0,f,g,00080,1349,+
8,b,54.42,0.5,y,p,k,h,3.96,t,f,0,f,g,00180,314,+
9,b,42.50,4.915,y,p,w,v,3.165,t,f,0,t,g,00052,1442,+
10,b,22.08,0.83,u,g,c,h,2.165,f,f,0,t,g,00128,0,+
11,b,29.92,1.835,u,g,c,h,4.335,t,f,0,f,g,00260,200,+
12,a,38.25,6.0,u,g,k,v,1.0,t,f,0,t,g,00000,0,+
13,b,48.08,6.04,u,g,k,v,0.04,f,f,0,f,g,00000,2690,+
14,a,45.83,10.5,u,g,q,v,5.0,t,t,7,t,g,00000,0,+
15,b,36.67,4.415,y,p,k,v,0.25,t,t,10,t,g,00320,0,+
16,b,28.25,0.875,u,g,m,v,0.96,t,t,3,t,g,00396,0,+
17,a,23.25,5.875,u,g,q,v,3.17,t,t,10,f,g,00120,245,+
18,b,21.83,0.25,u,g,d,h,0.665,t,f,0,t,g,00000,0,+
19,a,19.17,8.585,u,g,cc,h,0.75,t,t,7,f,g,00096,0,+
20,b,25.00,11.25,u,g,c,v,2.5,t,t,17,f,g,00200,1208,+
21,b,23.25,1.0,u,g,c,v,0.835,t,f,0,f,s,00300,0,+
22,a,47.75,8.0,u,g,c,v,7.875,t,t,6,t,g,00000,1260,+
23,a,27.42,14.5,u,g,x,h,3.085,t,t,1,f,g,00120,11,+
24,a,41.17,6.5,u,g,q,v,0.5,t,t,3,t,g,00145,0,+
25,a,15.83,0.585,u,g,c,h,1.5,t,t,2,f,g,00100,0,+
26,a,47.00,13.0,u,g,i,bb,5.165,t,t,9,t,g,00000,0,+
27,b,56.58,18.5,u,g,d,bb,15.0,t,t,17,t,g,00000,0,+
28,b,57.42,8.5,u,g,e,h,7.0,t,t,3,f,g,00000,0,+
29,b,42.08,1.04,u,g,w,v,5.0,t,t,6,t,g,00500,10000,+
30,b,29.25,14.79,u,g,aa,v,5.04,t,t,5,t,g,00168,0,+
31,b,42.00,9.79,u,g,x,h,7.96,t,t,8,f,g,00000,0,+
32,b,49.50,7.585,u,g,i,bb,7.585,t,t,15,t,g,00000,5000,+
33,a,36.75,5.125,u,g,e,v,5.0,t,f,0,t,g,00000,4000,+
34,a,22.58,10.75,u,g,q,v,0.415,t,t,5,t,g,00000,560,+
35,b,27.83,1.5,u,g,w,v,2.0,t,t,11,t,g,00434,35,+
36,b,27.25,1.585,u,g,cc,h,1.835,t,t,12,t,g,00583,713,+
37,a,23.00,11.75,u,g,x,h,0.5,t,t,2,t,g,00300,551,+
38,b,27.75,0.585,y,p,cc,v,0.25,t,t,2,f,g,00260,500,+
39,b,54.58,9.415,u,g,ff,ff,14.415,t,t,11,t,g,00030,300,+
40,b,34.17,9.17,u,g,c,v,4.5,t,t,12,t,g,00000,221,+
41,b,28.92,15.0,u,g,c,h,5.335,t,t,11,f,g,00000,2283,+
42,b,29.67,1.415,u,g,w,h,0.75,t,t,1,f,g,00240,100,+
43,b,39.58,13.915,u,g,w,v,8.625,t,t,6,t,g,00070,0,+
44,b,56.42,28.0,y,p,c,v,28.5,t,t,40,f,g,00000,15,+
45,b,54.33,6.75,u,g,c,h,2.625,t,t,11,t,g,00000,284,+
46,a,41.00,2.04,y,p,q,h,0.125,t,t,23,t,g,00455,1236,+
47,b,31.92,4.46,u,g,cc,h,6.04,t,t,3,f,g,00311,300,+
48,b,41.50,1.54,u,g,i,bb,3.5,f,f,0,f,g,00216,0,+
49,b,23.92,0.665,u,g,c,v,0.165,f,f,0,f,g,00100,0,+
50,a,25.75,0.5,u,g,c,h,0.875,t,f,0,t,g,00491,0,+
51,b,26.00,1.0,u,g,q,v,1.75,t,f,0,t,g,00280,0,+
52,b,37.42,2.04,u,g,w,v,0.04,t,f,0,t,g,00400,5800,+
53,b,34.92,2.5,u,g,w,v,0.0,t,f,0,t,g,00239,200,+
54,b,34.25,3.0,u,g,cc,h,7.415,t,f,0,t,g,00000,0,+
55,b,23.33,11.625,y,p,w,v,0.835,t,f,0,t,g,00160,300,+
56,b,23.17,0.0,u,g,cc,v,0.085,t,f,0,f,g,00000,0,+
